L = 10         delta = 1
0.1    2.8912
0.101985    2.83394
0.10401    3.03603
0.106075    2.76128
0.108181    2.84624
0.110328    2.80527
0.112519    2.86551
0.114753    2.64954
0.117031    2.77009
0.119354    2.82449
0.121724    2.80201
0.12414    2.87117
0.126605    2.65839
0.129118    2.7843
0.131682    2.83256
0.134296    2.96556
0.136962    2.94084
0.139681    2.88619
0.142454    2.82257
0.145282    2.83811
0.148167    2.85533
0.151108    2.9112
0.154108    2.8242
0.157168    2.78096
0.160288    2.89081
0.16347    2.82947
0.166715    2.8102
0.170025    2.8132
0.173401    2.74836
0.176843    2.81368
0.180354    2.76442
0.183935    2.70032
0.187586    2.75774
0.19131    2.76181
0.195108    2.78129
0.198982    2.69965
0.202932    2.67412
0.206961    2.68354
0.21107    2.65796
0.21526    2.60855
0.219534    2.56534
0.223892    2.56086
0.228337    2.57989
0.23287    2.55281
0.237493    2.56418
0.242208    2.54778
0.247017    2.51498
0.251921    2.51714
0.256922    2.513
0.262023    2.45355
0.267224    2.47034
0.27253    2.47808
0.27794    2.46565
0.283458    2.4461
0.289085    2.43013
0.294825    2.38402
0.300678    2.36352
0.306647    2.37187
0.312735    2.33059
0.318944    2.31062
0.325276    2.30818
0.331733    2.30061
0.338319    2.28163
0.345036    2.29869
0.351886    2.22817
0.358872    2.25358
0.365996    2.16907
0.373262    2.15255
0.380673    2.10952
0.38823    2.15309
0.395938    2.07791
0.403798    2.10964
0.411815    2.06834
0.41999    2.06417
0.428328    2.06419
0.436832    1.98873
0.445504    2.00198
0.454349    1.95092
0.463369    1.91761
0.472568    1.87539
0.48195    1.82061
0.491518    1.80967
0.501276    1.76269
0.511228    1.75338
0.521377    1.71925
0.531728    1.70592
0.542284    1.67232
0.55305    1.65454
0.56403    1.61198
0.575228    1.58148
0.586647    1.57034
0.598294    1.54033
0.610172    1.51217
0.622286    1.49637
0.63464    1.46864
0.647239    1.43566
0.660089    1.4323
0.673193    1.37469
0.686558    1.40422
0.700188    1.37079
0.714089    1.35369
0.728266    1.34408
0.742724    1.33414
0.757469    1.30915
0.772507    1.29111
0.787844    1.27718
0.803485    1.24565
0.819436    1.22912
0.835704    1.21406
0.852296    1.18893
0.869216    1.15625
0.886472    1.1702
0.904072    1.12837
0.92202    1.10032
0.940325    1.06498
0.958993    1.0448
0.978032    1.03233
0.997448    1.02224
1.01725    1.0066
1.03745    0.998642
1.05804    0.958512
1.07905    0.941774
1.10047    0.924084
1.12232    0.891194
1.1446    0.863145
1.16732    0.858691
1.1905    0.826898
1.21413    0.812533
1.23824    0.801785
1.26282    0.779965
1.28789    0.765488
1.31346    0.772026
1.33953    0.736365
1.36613    0.736565
1.39325    0.731681
1.42091    0.710172
1.44912    0.710715
1.47789    0.705642
1.50723    0.681072
1.53715    0.691932
1.56767    0.690163
1.59879    0.666564
1.63053    0.645438
1.6629    0.629197
1.69591    0.607033
1.72958    0.595681
1.76392    0.588185
1.79894    0.576258
1.83465    0.573537
1.87107    0.549157
1.90822    0.540139
1.9461    0.518836
1.98474    0.506608
2.02414    0.50986
2.06433    0.485085
2.10531    0.480929
2.14711    0.477402
2.18973    0.474758
2.23321    0.473062
2.27754    0.488469
2.32276    0.47195
2.36887    0.463354
2.4159    0.454972
2.46386    0.440334
2.51278    0.428526
2.56266    0.428917
2.61354    0.406308
2.66543    0.386932
2.71834    0.366013
2.77231    0.348668
2.82735    0.336949
2.88348    0.322289
2.94072    0.312524
2.99911    0.29702
3.05865    0.285578
3.11937    0.292564
3.1813    0.284968
3.24446    0.285058
3.30887    0.290043
3.37456    0.303511
3.44155    0.307054
3.50988    0.318984
3.57956    0.323723
3.65062    0.317028
3.7231    0.305692
3.79701    0.296057
3.87239    0.286294
3.94927    0.281679
4.02768    0.271936
4.10764    0.258551
4.18919    0.257256
4.27235    0.250204
4.35717    0.238853
4.44367    0.23261
4.53189    0.238132
4.62186    0.233912
4.71362    0.234758
4.8072    0.222032
4.90264    0.199187
4.99997    0.164764
