L = 10         delta = 4
0.1    2.73104
0.101985    2.78087
0.10401    2.85936
0.106075    2.83955
0.108181    2.62498
0.110328    2.67856
0.112519    2.98577
0.114753    2.82622
0.117031    2.74538
0.119354    2.91751
0.121724    3.05135
0.12414    2.97858
0.126605    3.011
0.129118    2.98048
0.131682    2.959
0.134296    2.88472
0.136962    2.87725
0.139681    2.89961
0.142454    2.83694
0.145282    2.89562
0.148167    2.84034
0.151108    2.9923
0.154108    2.97338
0.157168    2.92348
0.160288    2.83735
0.16347    2.80775
0.166715    2.71426
0.170025    2.88418
0.173401    2.8913
0.176843    2.89382
0.180354    2.88106
0.183935    2.74984
0.187586    2.85093
0.19131    2.91672
0.195108    2.94991
0.198982    2.86383
0.202932    2.82191
0.206961    2.91467
0.21107    2.84375
0.21526    2.88548
0.219534    2.97877
0.223892    2.93746
0.228337    2.9326
0.23287    2.97927
0.237493    2.98395
0.242208    3.01347
0.247017    2.86255
0.251921    2.87268
0.256922    2.88488
0.262023    2.90111
0.267224    3.07965
0.27253    3.06363
0.27794    3.02199
0.283458    3.00689
0.289085    3.0399
0.294825    3.06778
0.300678    3.06871
0.306647    3.03593
0.312735    3.0329
0.318944    3.02098
0.325276    2.98706
0.331733    3.05029
0.338319    2.97382
0.345036    3.00098
0.351886    2.9776
0.358872    2.99881
0.365996    3.00612
0.373262    2.9866
0.380673    2.98842
0.38823    2.97221
0.395938    3.02728
0.403798    2.96819
0.411815    3.02182
0.41999    3.01543
0.428328    3.00504
0.436832    2.96882
0.445504    2.96499
0.454349    3.01194
0.463369    3.00847
0.472568    3.05149
0.48195    3.09941
0.491518    3.02982
0.501276    2.99385
0.511228    3.1138
0.521377    2.9958
0.531728    3.08078
0.542284    2.99351
0.55305    3.09417
0.56403    3.12392
0.575228    3.13924
0.586647    3.04188
0.598294    3.10277
0.610172    3.09899
0.622286    3.13577
0.63464    3.12263
0.647239    3.08801
0.660089    3.12141
0.673193    3.08764
0.686558    3.09366
0.700188    3.07809
0.714089    3.11253
0.728266    3.11678
0.742724    3.11148
0.757469    3.10659
0.772507    3.13708
0.787844    3.12295
0.803485    3.08136
0.819436    3.08585
0.835704    3.11592
0.852296    3.07662
0.869216    3.11352
0.886472    3.09456
0.904072    3.07012
0.92202    3.05946
0.940325    3.0815
0.958993    3.04331
0.978032    3.03274
0.997448    3.06915
1.01725    3.06038
1.03745    3.03103
1.05804    3.00554
1.07905    2.97902
1.10047    2.95813
1.12232    2.97499
1.1446    2.96065
1.16732    2.90496
1.1905    2.89426
1.21413    2.87983
1.23824    2.86393
1.26282    2.84082
1.28789    2.7895
1.31346    2.84163
1.33953    2.74798
1.36613    2.73975
1.39325    2.69172
1.42091    2.60268
1.44912    2.57936
1.47789    2.56684
1.50723    2.49106
1.53715    2.49295
1.56767    2.45753
1.59879    2.39969
1.63053    2.40636
1.6629    2.36707
1.69591    2.35697
1.72958    2.24086
1.76392    2.1853
1.79894    2.12687
1.83465    2.07468
1.87107    2.02008
1.90822    1.95817
1.9461    1.88566
1.98474    1.79463
2.02414    1.74009
2.06433    1.67996
2.10531    1.62991
2.14711    1.58931
2.18973    1.51351
2.23321    1.46918
2.27754    1.39349
2.32276    1.35779
2.36887    1.33798
2.4159    1.32139
2.46386    1.28592
2.51278    1.26726
2.56266    1.25315
2.61354    1.25379
2.66543    1.2334
2.71834    1.21329
2.77231    1.17434
2.82735    1.16883
2.88348    1.14487
2.94072    1.13822
2.99911    1.11377
3.05865    1.1064
3.11937    1.10317
3.1813    1.10223
3.24446    1.08437
3.30887    1.08524
3.37456    1.07966
3.44155    1.07212
3.50988    1.06417
3.57956    1.05225
3.65062    1.03754
3.7231    1.03405
3.79701    1.02985
3.87239    1.00098
3.94927    1.00984
4.02768    1.00023
4.10764    1.00206
4.18919    0.987461
4.27235    0.938974
4.35717    0.890668
4.44367    0.83843
4.53189    0.784063
4.62186    0.724893
4.71362    0.646677
4.8072    0.57115
4.90264    0.500402
4.99997    0.427715
