L = 100         delta = 2
0.1    3.18567
0.103172    3.21833
0.106445    2.82323
0.109822    3.21851
0.113305    3.35
0.1169    3.14717
0.120608    3.04937
0.124434    3.29106
0.128381    3.1583
0.132454    3.14624
0.136655    2.82708
0.14099    3.02676
0.145463    3.29819
0.150077    3.12258
0.154838    3.24688
0.15975    2.96517
0.164817    3.10049
0.170046    3.02047
0.17544    3.0535
0.181005    3.07286
0.186747    2.93217
0.192671    3.05223
0.198783    3.21361
0.205089    3.0772
0.211594    2.90174
0.218307    2.82228
0.225232    2.77324
0.232376    2.96138
0.239748    2.87308
0.247353    2.99995
0.2552    3.00426
0.263295    2.91594
0.271647    2.94211
0.280265    3.0529
0.289155    2.9964
0.298328    2.87963
0.307791    2.98174
0.317555    2.92253
0.327628    2.95247
0.338021    2.90833
0.348744    2.89908
0.359807    2.79589
0.371221    2.94468
0.382997    2.85443
0.395146    2.82557
0.407681    2.78174
0.420613    2.79945
0.433956    2.75558
0.447722    2.7586
0.461924    2.75072
0.476578    2.75216
0.491695    2.68719
0.507293    2.68852
0.523385    2.62783
0.539988    2.67296
0.557118    2.61313
0.57479    2.59186
0.593024    2.56273
0.611836    2.53369
0.631244    2.5676
0.651269    2.46116
0.671928    2.38518
0.693243    2.4038
0.715234    2.35122
0.737923    2.35319
0.761331    2.30508
0.785482    2.21867
0.810399    2.23733
0.836106    2.11309
0.862629    2.16917
0.889994    2.04894
0.918226    1.99708
0.947354    1.96161
0.977406    1.94084
1.00841    1.91112
1.0404    1.82866
1.0734    1.83032
1.10745    1.74409
1.14258    1.68362
1.17883    1.6457
1.21622    1.65135
1.25481    1.58682
1.29461    1.52727
1.33568    1.50589
1.37805    1.50093
1.42176    1.41624
1.46686    1.37634
1.5134    1.31634
1.5614    1.28378
1.61093    1.26601
1.66204    1.21355
1.71476    1.1696
1.76915    1.11984
1.82528    1.11921
1.88318    1.06574
1.94291    1.04631
2.00455    1.00586
2.06814    0.995368
2.13374    0.946654
2.20143    0.91318
2.27126    0.883183
2.34331    0.87645
2.41764    0.840731
2.49434    0.832852
2.57346    0.797992
2.6551    0.766262
2.73932    0.741228
2.82622    0.736795
2.91587    0.702098
3.00837    0.689456
3.1038    0.670115
3.20226    0.644154
3.30384    0.642236
3.40864    0.612945
3.51677    0.589921
3.62833    0.573183
3.74343    0.553033
3.86218    0.542336
3.9847    0.50182
4.1111    0.512464
4.24151    0.487707
4.37606    0.492509
4.51488    0.45587
4.6581    0.437247
4.80586    0.434504
4.95831    0.417889
5.1156    0.394673
5.27788    0.39645
5.4453    0.380866
5.61804    0.378555
5.79625    0.356902
5.98012    0.343598
6.16982    0.331673
6.36554    0.32035
6.56747    0.31543
6.7758    0.309509
6.99074    0.291846
7.2125    0.286501
7.4413    0.273122
7.67735    0.271647
7.92089    0.272128
8.17215    0.263234
8.43139    0.253664
8.69885    0.24157
8.9748    0.235003
9.25949    0.216594
9.55322    0.211331
9.85627    0.211162
10.1689    0.202544
10.4915    0.192137
10.8243    0.191602
11.1677    0.179054
11.5219    0.174071
11.8874    0.165817
12.2645    0.169831
12.6536    0.163377
13.055    0.154527
13.4691    0.147909
13.8964    0.150151
14.3372    0.141471
14.792    0.140382
15.2612    0.132774
15.7454    0.123355
16.2448    0.125966
16.7602    0.119975
17.2918    0.117615
17.8403    0.11434
18.4063    0.110407
18.9902    0.104221
19.5926    0.102588
20.2141    0.0984951
20.8553    0.0957432
21.5169    0.0926632
22.1994    0.0947736
22.9037    0.0915162
23.6302    0.0893071
24.3798    0.0806754
25.1532    0.081809
25.9511    0.0758448
26.7743    0.0756356
27.6236    0.0726731
28.4999    0.0715125
29.404    0.0695406
30.3367    0.0674902
31.2991    0.0657042
32.2919    0.0626924
33.3163    0.0614089
34.3732    0.0588855
35.4635    0.0580022
36.5885    0.0535638
37.7492    0.053365
38.9467    0.0547388
40.1821    0.0501398
41.4568    0.0501419
42.7719    0.047101
44.1287    0.046347
45.5285    0.0452979
46.9728    0.0438762
48.4628    0.0419624
