L = 100         delta = 3
0.1    2.74048
0.103172    2.97521
0.106445    3.02439
0.109822    3.35732
0.113305    3.17045
0.1169    2.99618
0.120608    3.27555
0.124434    3.12705
0.128381    3.45003
0.132454    3.21947
0.136655    3.3511
0.14099    3.39352
0.145463    3.20461
0.150077    2.95419
0.154838    3.45604
0.15975    2.94155
0.164817    3.13855
0.170046    2.9232
0.17544    2.96452
0.181005    3.12742
0.186747    2.96163
0.192671    3.1312
0.198783    3.28101
0.205089    3.01789
0.211594    2.99362
0.218307    3.21826
0.225232    2.98462
0.232376    2.91036
0.239748    3.07119
0.247353    3.03043
0.2552    3.00672
0.263295    3.03253
0.271647    2.98624
0.280265    2.9455
0.289155    2.99645
0.298328    2.92348
0.307791    3.07875
0.317555    3.00379
0.327628    2.91436
0.338021    2.99143
0.348744    3.06204
0.359807    2.9673
0.371221    2.98725
0.382997    2.99256
0.395146    3.01883
0.407681    2.9851
0.420613    2.99712
0.433956    3.00258
0.447722    2.95353
0.461924    3.07596
0.476578    2.95682
0.491695    2.99406
0.507293    2.90777
0.523385    2.89094
0.539988    2.83682
0.557118    2.87875
0.57479    2.8673
0.593024    2.95746
0.611836    2.9098
0.631244    2.83685
0.651269    2.75289
0.671928    2.7235
0.693243    2.76867
0.715234    2.84655
0.737923    2.73782
0.761331    2.7262
0.785482    2.67502
0.810399    2.73128
0.836106    2.60196
0.862629    2.63531
0.889994    2.53935
0.918226    2.53633
0.947354    2.55381
0.977406    2.50304
1.00841    2.49565
1.0404    2.37277
1.0734    2.40385
1.10745    2.31601
1.14258    2.2994
1.17883    2.22427
1.21622    2.18937
1.25481    2.20056
1.29461    2.15075
1.33568    2.04131
1.37805    1.99121
1.42176    2.02851
1.46686    1.94271
1.5134    1.82725
1.5614    1.8636
1.61093    1.77228
1.66204    1.77215
1.71476    1.69198
1.76915    1.65375
1.82528    1.58401
1.88318    1.54644
1.94291    1.54932
2.00455    1.47897
2.06814    1.39637
2.13374    1.42302
2.20143    1.38235
2.27126    1.32365
2.34331    1.29008
2.41764    1.24608
2.49434    1.23758
2.57346    1.1814
2.6551    1.16648
2.73932    1.12203
2.82622    1.11014
2.91587    1.03822
3.00837    0.983704
3.1038    1.00128
3.20226    0.966681
3.30384    0.926547
3.40864    0.892033
3.51677    0.872859
3.62833    0.822074
3.74343    0.826345
3.86218    0.790207
3.9847    0.753449
4.1111    0.748881
4.24151    0.714743
4.37606    0.694825
4.51488    0.68563
4.6581    0.647138
4.80586    0.647262
4.95831    0.630542
5.1156    0.596641
5.27788    0.586459
5.4453    0.586344
5.61804    0.555658
5.79625    0.542297
5.98012    0.51476
6.16982    0.501735
6.36554    0.489291
6.56747    0.46997
6.7758    0.458231
6.99074    0.445268
7.2125    0.42809
7.4413    0.421715
7.67735    0.416978
7.92089    0.41077
8.17215    0.388643
8.43139    0.381668
8.69885    0.363746
8.9748    0.351651
9.25949    0.335114
9.55322    0.321104
9.85627    0.312642
10.1689    0.297833
10.4915    0.288933
10.8243    0.279589
11.1677    0.272875
11.5219    0.256731
11.8874    0.251937
12.2645    0.254119
12.6536    0.238198
13.055    0.231854
13.4691    0.224072
13.8964    0.212792
14.3372    0.213453
14.792    0.20313
15.2612    0.197962
15.7454    0.189209
16.2448    0.18486
16.7602    0.178944
17.2918    0.175959
17.8403    0.172333
18.4063    0.162424
18.9902    0.154785
19.5926    0.148596
20.2141    0.148586
20.8553    0.14526
21.5169    0.142589
22.1994    0.138524
22.9037    0.136287
23.6302    0.132245
24.3798    0.126159
25.1532    0.119416
25.9511    0.115583
26.7743    0.11115
27.6236    0.112763
28.4999    0.106153
29.404    0.103871
30.3367    0.0996809
31.2991    0.100494
32.2919    0.0945833
33.3163    0.0888425
34.3732    0.087845
35.4635    0.0844066
36.5885    0.0825477
37.7492    0.0815119
38.9467    0.08199
40.1821    0.0743586
41.4568    0.0752189
42.7719    0.0710326
44.1287    0.0694006
45.5285    0.0697573
46.9728    0.0667
48.4628    0.0628268
