L = 50         delta = 2
0.1    3.23911
0.102813    3.17889
0.105706    3.15695
0.10868    3.01255
0.111738    3.08069
0.114881    3.10932
0.118114    3.03163
0.121437    3.06584
0.124853    3.09199
0.128366    3.14021
0.131977    3.07324
0.135691    3.04741
0.139508    3.0185
0.143433    3.00539
0.147469    3.07727
0.151618    3.06815
0.155883    3.08495
0.160269    2.94408
0.164778    2.94863
0.169414    3.04955
0.17418    3.06063
0.179081    3.06948
0.184119    2.87432
0.189299    2.84763
0.194625    2.85966
0.200101    3.03624
0.205731    3.06269
0.211519    3.00506
0.21747    3.00253
0.223588    3.00089
0.229879    2.93263
0.236346    2.94515
0.242996    2.93106
0.249833    2.9489
0.256861    2.91181
0.264088    2.91936
0.271518    2.98748
0.279157    3.00844
0.287011    3.11827
0.295086    3.11618
0.303388    3.06235
0.311924    2.89398
0.3207    2.89984
0.329723    2.89266
0.338999    2.95578
0.348537    2.92349
0.358343    2.89137
0.368425    2.83891
0.37879    2.82638
0.389447    2.74999
0.400404    2.73561
0.411669    2.71336
0.423252    2.71017
0.43516    2.6732
0.447403    2.64316
0.45999    2.70205
0.472932    2.65921
0.486237    2.65911
0.499917    2.62532
0.513982    2.57773
0.528443    2.53865
0.543311    2.50929
0.558597    2.49082
0.574312    2.50098
0.59047    2.47499
0.607083    2.40772
0.624163    2.36375
0.641724    2.32681
0.659778    2.34472
0.678341    2.3164
0.697426    2.31144
0.717048    2.25233
0.737221    2.21404
0.757963    2.14566
0.779288    2.10606
0.801213    2.08201
0.823754    2.06218
0.84693    2.02421
0.870758    2.00305
0.895257    1.94873
0.920445    1.92008
0.946341    1.8914
0.972966    1.8547
1.00034    1.80836
1.02848    1.8102
1.05742    1.79443
1.08717    1.75297
1.11776    1.73051
1.1492    1.69069
1.18154    1.63579
1.21478    1.58958
1.24896    1.55875
1.2841    1.51167
1.32022    1.47873
1.35737    1.47475
1.39556    1.42176
1.43482    1.38548
1.47519    1.36708
1.51669    1.32347
1.55936    1.28197
1.60323    1.23701
1.64834    1.2014
1.69472    1.17911
1.7424    1.13737
1.79142    1.10482
1.84182    1.08899
1.89364    1.0534
1.94691    1.02373
2.00169    1.00698
2.05801    0.982035
2.11591    0.962775
2.17544    0.924097
2.23664    0.885643
2.29957    0.872049
2.36427    0.84319
2.43078    0.832357
2.49917    0.805359
2.56949    0.77957
2.64178    0.749744
2.7161    0.716393
2.79252    0.698442
2.87109    0.680391
2.95186    0.657331
3.03491    0.641767
3.1203    0.629458
3.20809    0.609134
3.29835    0.583351
3.39114    0.570969
3.48655    0.572737
3.58464    0.558625
3.6855    0.56403
3.78919    0.550175
3.89579    0.542587
4.0054    0.492997
4.11809    0.475034
4.23395    0.478643
4.35307    0.463265
4.47554    0.453723
4.60146    0.457344
4.73092    0.441395
4.86402    0.417003
5.00087    0.403827
5.14157    0.393222
5.28623    0.389044
5.43495    0.377991
5.58786    0.377163
5.74507    0.362734
5.90671    0.357336
6.07289    0.359081
6.24375    0.350609
6.41942    0.331315
6.60002    0.324601
6.78571    0.307474
6.97663    0.30075
7.17291    0.302663
7.37472    0.282654
7.5822    0.282643
7.79552    0.279786
8.01485    0.274767
8.24034    0.265848
8.47218    0.252489
8.71054    0.243803
8.95561    0.223864
9.20757    0.222783
9.46662    0.221179
9.73296    0.214985
10.0068    0.210181
10.2883    0.203173
10.5778    0.194267
10.8754    0.188738
11.1814    0.181568
11.496    0.176313
11.8194    0.168151
12.1519    0.157815
12.4938    0.155456
12.8453    0.156228
13.2067    0.15112
13.5783    0.147769
13.9603    0.147436
14.3531    0.138044
14.7569    0.13493
15.1721    0.134805
15.5989    0.131328
16.0378    0.127584
16.489    0.124237
16.9529    0.124298
17.4299    0.119197
17.9203    0.119643
18.4244    0.117984
18.9428    0.116122
19.4758    0.10911
20.0237    0.10986
20.5871    0.104548
21.1663    0.104959
21.7618    0.101498
22.374    0.0984223
23.0035    0.094162
23.6507    0.0850032
24.3161    0.0830877
