L = 100         delta = 5
0.1    3.30307
0.103172    3.41328
0.106445    3.15616
0.109822    3.09215
0.113305    3.13005
0.1169    3.06869
0.120608    3.18311
0.124434    3.09206
0.128381    3.1487
0.132454    2.99344
0.136655    3.02577
0.14099    3.40058
0.145463    3.14868
0.150077    3.21123
0.154838    3.10096
0.15975    3.28141
0.164817    3.14021
0.170046    3.16154
0.17544    3.09992
0.181005    2.9741
0.186747    3.01809
0.192671    3.20359
0.198783    3.0335
0.205089    2.95415
0.211594    3.23286
0.218307    3.05884
0.225232    3.0998
0.232376    3.11195
0.239748    3.17474
0.247353    3.24629
0.2552    3.11536
0.263295    3.08958
0.271647    3.2017
0.280265    3.23475
0.289155    3.09491
0.298328    3.30426
0.307791    3.18049
0.317555    3.16574
0.327628    3.09461
0.338021    3.18157
0.348744    3.13895
0.359807    3.06342
0.371221    3.12377
0.382997    3.17472
0.395146    3.13691
0.407681    3.14027
0.420613    3.0833
0.433956    3.05978
0.447722    3.10868
0.461924    3.07556
0.476578    3.15049
0.491695    3.03871
0.507293    2.98366
0.523385    3.01724
0.539988    3.01782
0.557118    2.98508
0.57479    2.98059
0.593024    3.00052
0.611836    3.04109
0.631244    3.01302
0.651269    2.98112
0.671928    3.03242
0.693243    2.89826
0.715234    3.0491
0.737923    2.91331
0.761331    2.91102
0.785482    2.91602
0.810399    2.98181
0.836106    2.96613
0.862629    2.99314
0.889994    2.79311
0.918226    2.91099
0.947354    2.8184
0.977406    2.81934
1.00841    2.84113
1.0404    2.7738
1.0734    2.73128
1.10745    2.76091
1.14258    2.8596
1.17883    2.71604
1.21622    2.73268
1.25481    2.70101
1.29461    2.681
1.33568    2.64452
1.37805    2.61785
1.42176    2.55632
1.46686    2.55438
1.5134    2.55221
1.5614    2.49678
1.61093    2.47394
1.66204    2.4127
1.71476    2.33196
1.76915    2.31305
1.82528    2.34591
1.88318    2.30675
1.94291    2.24793
2.00455    2.2333
2.06814    2.1489
2.13374    2.14486
2.20143    2.08383
2.27126    2.04634
2.34331    2.05043
2.41764    1.96339
2.49434    1.94233
2.57346    1.86152
2.6551    1.82545
2.73932    1.76461
2.82622    1.69515
2.91587    1.70221
3.00837    1.61763
3.1038    1.55228
3.20226    1.52617
3.30384    1.47336
3.40864    1.42821
3.51677    1.39256
3.62833    1.36999
3.74343    1.29641
3.86218    1.29691
3.9847    1.21926
4.1111    1.18885
4.24151    1.15139
4.37606    1.09398
4.51488    1.10503
4.6581    1.06845
4.80586    1.03727
4.95831    1.01047
5.1156    1.00883
5.27788    0.964551
5.4453    0.912587
5.61804    0.899994
5.79625    0.891543
5.98012    0.881051
6.16982    0.844025
6.36554    0.804262
6.56747    0.78359
6.7758    0.748657
6.99074    0.747495
7.2125    0.706218
7.4413    0.727384
7.67735    0.695806
7.92089    0.668831
8.17215    0.63691
8.43139    0.624744
8.69885    0.612216
8.9748    0.570003
9.25949    0.569092
9.55322    0.529854
9.85627    0.519136
10.1689    0.497916
10.4915    0.487537
10.8243    0.467978
11.1677    0.444929
11.5219    0.436679
11.8874    0.413262
12.2645    0.401678
12.6536    0.392367
13.055    0.378453
13.4691    0.353668
13.8964    0.343637
14.3372    0.340137
14.792    0.32463
15.2612    0.315374
15.7454    0.30509
16.2448    0.303523
16.7602    0.29388
17.2918    0.284545
17.8403    0.273957
18.4063    0.255809
18.9902    0.243911
19.5926    0.240073
20.2141    0.239624
20.8553    0.232207
21.5169    0.228777
22.1994    0.225883
22.9037    0.217187
23.6302    0.210405
24.3798    0.20486
25.1532    0.195872
25.9511    0.190355
26.7743    0.184546
27.6236    0.179146
28.4999    0.175242
29.404    0.171145
30.3367    0.166089
31.2991    0.161379
32.2919    0.158292
33.3163    0.14551
34.3732    0.142878
35.4635    0.141108
36.5885    0.133655
37.7492    0.130998
38.9467    0.133402
40.1821    0.121952
41.4568    0.12161
42.7719    0.118619
44.1287    0.113977
45.5285    0.113603
46.9728    0.111358
48.4628    0.104135
