L = 200         delta = 2
0.1    2.6503
0.103532    2.89104
0.107189    3.10878
0.110975    3.25181
0.114895    3.22204
0.118953    3.37347
0.123155    3.32363
0.127505    3.15685
0.132009    3.29236
0.136672    3.05695
0.141499    3.05382
0.146497    3.10159
0.151672    3.05105
0.157029    3.04257
0.162576    3.22679
0.168318    3.18756
0.174263    3.00735
0.180419    3.24023
0.186791    3.0676
0.193389    2.9198
0.20022    3.1587
0.207292    2.87787
0.214614    3.10361
0.222195    2.96814
0.230043    3.03805
0.238169    3.01978
0.246581    3.14377
0.255291    3.05602
0.264308    3.01853
0.273644    2.99141
0.28331    2.96084
0.293317    2.91073
0.303677    2.844
0.314404    2.92384
0.325509    2.9551
0.337006    2.86316
0.34891    2.97001
0.361234    2.90925
0.373994    2.88527
0.387204    2.86972
0.400881    2.81638
0.41504    2.78192
0.4297    2.78655
0.444878    2.72777
0.460592    2.71673
0.476861    2.7696
0.493705    2.74999
0.511143    2.63947
0.529198    2.61132
0.54789    2.64999
0.567242    2.594
0.587278    2.56588
0.608022    2.43565
0.629499    2.47623
0.651734    2.45669
0.674754    2.42337
0.698588    2.28671
0.723263    2.33242
0.74881    2.25519
0.775259    2.20217
0.802643    2.1776
0.830994    2.09058
0.860346    2.08314
0.890735    2.05047
0.922197    1.94609
0.954771    1.99085
0.988495    1.95263
1.02341    1.85877
1.05956    1.7873
1.09699    1.73535
1.13573    1.73685
1.17585    1.6565
1.21738    1.57202
1.26038    1.57148
1.3049    1.50449
1.35099    1.47626
1.39871    1.42315
1.44812    1.31756
1.49927    1.36082
1.55222    1.29913
1.60705    1.23311
1.66382    1.20198
1.72259    1.16628
1.78343    1.14201
1.84642    1.06819
1.91164    1.01491
1.97917    0.991201
2.04907    0.979809
2.12145    0.962406
2.19638    0.931162
2.27396    0.869661
2.35429    0.857276
2.43744    0.829078
2.52354    0.810126
2.61267    0.760645
2.70496    0.743327
2.8005    0.7256
2.89942    0.691189
3.00183    0.683762
3.10786    0.649318
3.21764    0.625399
3.33129    0.609226
3.44896    0.591871
3.57078    0.567829
3.69691    0.557619
3.82749    0.538097
3.96269    0.514188
4.10265    0.492159
4.24757    0.476818
4.3976    0.462942
4.55293    0.443609
4.71375    0.432316
4.88025    0.416484
5.05263    0.408333
5.2311    0.380452
5.41587    0.377769
5.60717    0.358304
5.80522    0.34501
6.01027    0.338184
6.22257    0.316298
6.44236    0.3086
6.66991    0.300328
6.90551    0.294343
7.14942    0.280524
7.40195    0.275266
7.6634    0.264955
7.93409    0.254653
8.21434    0.241833
8.50448    0.239853
8.80488    0.226934
9.11588    0.218728
9.43787    0.2073
9.77123    0.205588
10.1164    0.19922
10.4737    0.193809
10.8436    0.184812
11.2267    0.1731
11.6232    0.17966
12.0338    0.16792
12.4588    0.164766
12.8989    0.155383
13.3545    0.149744
13.8262    0.148304
14.3146    0.143076
14.8202    0.136995
15.3437    0.134611
15.8856    0.132765
16.4467    0.127182
17.0277    0.121586
17.6291    0.117493
18.2518    0.114935
18.8965    0.108637
19.564    0.105002
20.255    0.103406
20.9704    0.100627
21.7112    0.0970002
22.478    0.0925428
23.272    0.0905932
24.094    0.0837697
24.945    0.0831795
25.8262    0.0811796
26.7384    0.0757519
27.6828    0.0741426
28.6606    0.0729163
29.673    0.0708824
30.7211    0.0675877
31.8062    0.0646925
32.9297    0.0632067
34.0928    0.0607704
35.297    0.0594866
36.5438    0.0570546
37.8346    0.0540172
39.171    0.0519889
40.5546    0.050193
41.987    0.0490597
43.4701    0.0469046
45.0055    0.0451365
46.5952    0.0436383
48.241    0.0426525
49.945    0.0418659
51.7091    0.0394493
53.5356    0.0368509
55.4266    0.0373855
57.3843    0.0365861
59.4113    0.0336237
61.5098    0.0335544
63.6824    0.0325985
65.9318    0.0307947
68.2606    0.030515
70.6717    0.0293527
73.168    0.0275381
75.7524    0.0278259
78.4281    0.0264201
81.1983    0.0255351
84.0664    0.024427
87.0358    0.0247032
90.11    0.0229468
93.2929    0.0220297
96.5882    0.0214256
99.9998    0.0188266
