L = 10         delta = 3
0.1    2.90179
0.101985    2.68922
0.10401    2.91523
0.106075    2.84436
0.108181    2.99039
0.110328    2.9956
0.112519    2.96883
0.114753    2.86718
0.117031    2.8842
0.119354    2.95527
0.121724    2.88322
0.12414    3.03469
0.126605    2.99648
0.129118    3.04374
0.131682    2.96764
0.134296    2.87798
0.136962    2.92586
0.139681    2.9378
0.142454    2.96556
0.145282    2.9799
0.148167    2.85154
0.151108    2.94486
0.154108    2.90242
0.157168    2.9093
0.160288    2.85995
0.16347    2.88462
0.166715    2.89851
0.170025    2.89535
0.173401    2.92581
0.176843    2.65055
0.180354    2.65502
0.183935    2.63642
0.187586    2.69518
0.19131    2.65237
0.195108    2.64079
0.198982    2.69546
0.202932    2.64995
0.206961    2.56247
0.21107    2.64078
0.21526    2.63937
0.219534    2.70847
0.223892    2.56347
0.228337    2.59215
0.23287    2.71677
0.237493    2.67234
0.242208    2.67243
0.247017    2.75332
0.251921    2.7269
0.256922    2.60932
0.262023    2.70683
0.267224    2.65076
0.27253    2.81052
0.27794    2.80585
0.283458    2.74807
0.289085    2.76662
0.294825    2.84023
0.300678    2.74365
0.306647    2.74409
0.312735    2.76301
0.318944    2.75459
0.325276    2.7486
0.331733    2.82045
0.338319    2.76598
0.345036    2.71126
0.351886    2.77288
0.358872    2.74322
0.365996    2.80956
0.373262    2.77576
0.380673    2.78762
0.38823    2.79095
0.395938    2.79265
0.403798    2.81223
0.411815    2.86914
0.41999    2.85093
0.428328    2.81073
0.436832    2.84777
0.445504    2.85555
0.454349    2.80505
0.463369    2.82169
0.472568    2.84968
0.48195    2.83231
0.491518    2.93284
0.501276    2.95883
0.511228    2.89802
0.521377    2.94437
0.531728    2.95993
0.542284    2.91993
0.55305    2.8898
0.56403    2.90456
0.575228    2.87376
0.586647    2.92366
0.598294    2.9039
0.610172    2.92414
0.622286    2.87235
0.63464    2.83011
0.647239    2.83031
0.660089    2.86006
0.673193    2.82094
0.686558    2.82194
0.700188    2.78447
0.714089    2.79924
0.728266    2.84959
0.742724    2.84373
0.757469    2.86961
0.772507    2.8556
0.787844    2.84824
0.803485    2.82353
0.819436    2.8215
0.835704    2.864
0.852296    2.78704
0.869216    2.80565
0.886472    2.76438
0.904072    2.76545
0.92202    2.74799
0.940325    2.78019
0.958993    2.76525
0.978032    2.76522
0.997448    2.75184
1.01725    2.69844
1.03745    2.69227
1.05804    2.65327
1.07905    2.68021
1.10047    2.60903
1.12232    2.59326
1.1446    2.54103
1.16732    2.50683
1.1905    2.46356
1.21413    2.44721
1.23824    2.40282
1.26282    2.37201
1.28789    2.34259
1.31346    2.29231
1.33953    2.25352
1.36613    2.2647
1.39325    2.22525
1.42091    2.20431
1.44912    2.19854
1.47789    2.12661
1.50723    2.09972
1.53715    2.05794
1.56767    2.03019
1.59879    2.00057
1.63053    1.95653
1.6629    1.93847
1.69591    1.90059
1.72958    1.86572
1.76392    1.80949
1.79894    1.76867
1.83465    1.72813
1.87107    1.67391
1.90822    1.64153
1.9461    1.5907
1.98474    1.53851
2.02414    1.4793
2.06433    1.46579
2.10531    1.40804
2.14711    1.36204
2.18973    1.34722
2.23321    1.29012
2.27754    1.2543
2.32276    1.20963
2.36887    1.17655
2.4159    1.14436
2.46386    1.13832
2.51278    1.11754
2.56266    1.10788
2.61354    1.0864
2.66543    1.08669
2.71834    1.05439
2.77231    1.00269
2.82735    0.992323
2.88348    0.968511
2.94072    0.947796
2.99911    0.919087
3.05865    0.890657
3.11937    0.876068
3.1813    0.856001
3.24446    0.836681
3.30887    0.823626
3.37456    0.857273
3.44155    0.848952
3.50988    0.847988
3.57956    0.857582
3.65062    0.863486
3.7231    0.833638
3.79701    0.832416
3.87239    0.818067
3.94927    0.810175
4.02768    0.796299
4.10764    0.772978
4.18919    0.763105
4.27235    0.748644
4.35717    0.745451
4.44367    0.705345
4.53189    0.681003
4.62186    0.643429
4.71362    0.567022
4.8072    0.502508
4.90264    0.436249
4.99997    0.365361
