L = 100         delta = 4
0.1    3.12824
0.103172    3.1457
0.106445    2.94344
0.109822    3.13939
0.113305    3.0774
0.1169    3.45052
0.120608    3.24029
0.124434    3.08372
0.128381    2.86412
0.132454    3.11708
0.136655    2.98547
0.14099    3.17194
0.145463    2.95104
0.150077    3.18329
0.154838    3.03103
0.15975    3.16286
0.164817    3.08324
0.170046    3.17
0.17544    3.07393
0.181005    2.99119
0.186747    3.10417
0.192671    3.33327
0.198783    3.17599
0.205089    3.02757
0.211594    3.26127
0.218307    3.16952
0.225232    3.04326
0.232376    3.21589
0.239748    3.13511
0.247353    3.03941
0.2552    3.11389
0.263295    2.97733
0.271647    3.07836
0.280265    3.12989
0.289155    3.08433
0.298328    3.12234
0.307791    3.11264
0.317555    3.05949
0.327628    3.06527
0.338021    2.97908
0.348744    3.10305
0.359807    3.07702
0.371221    3.04152
0.382997    2.91365
0.395146    3.09079
0.407681    2.9771
0.420613    3.09142
0.433956    3.07682
0.447722    3.01816
0.461924    3.06811
0.476578    3.07045
0.491695    3.09759
0.507293    3.1372
0.523385    3.06184
0.539988    2.92484
0.557118    3.03395
0.57479    2.89301
0.593024    2.92183
0.611836    3.07102
0.631244    3.01872
0.651269    2.91217
0.671928    2.90482
0.693243    2.92139
0.715234    2.97543
0.737923    2.87233
0.761331    2.9008
0.785482    2.86456
0.810399    2.85216
0.836106    2.79413
0.862629    2.81583
0.889994    2.76427
0.918226    2.77614
0.947354    2.70865
0.977406    2.66206
1.00841    2.66929
1.0404    2.67257
1.0734    2.68304
1.10745    2.64993
1.14258    2.60988
1.17883    2.54428
1.21622    2.58149
1.25481    2.46802
1.29461    2.46415
1.33568    2.45854
1.37805    2.45376
1.42176    2.32792
1.46686    2.36958
1.5134    2.26677
1.5614    2.19997
1.61093    2.20532
1.66204    2.17525
1.71476    2.08369
1.76915    2.09729
1.82528    2.03232
1.88318    1.93722
1.94291    1.92834
2.00455    1.97276
2.06814    1.86612
2.13374    1.82281
2.20143    1.73915
2.27126    1.71805
2.34331    1.7025
2.41764    1.64561
2.49434    1.58084
2.57346    1.55121
2.6551    1.52175
2.73932    1.4558
2.82622    1.3952
2.91587    1.37501
3.00837    1.36216
3.1038    1.26218
3.20226    1.2517
3.30384    1.23554
3.40864    1.17583
3.51677    1.16261
3.62833    1.10375
3.74343    1.0656
3.86218    1.02677
3.9847    1.01837
4.1111    0.992774
4.24151    0.954499
4.37606    0.925018
4.51488    0.896235
4.6581    0.886226
4.80586    0.856812
4.95831    0.810202
5.1156    0.793845
5.27788    0.78483
5.4453    0.774122
5.61804    0.72211
5.79625    0.715866
5.98012    0.6716
6.16982    0.668058
6.36554    0.63684
6.56747    0.636151
6.7758    0.62089
6.99074    0.58379
7.2125    0.580985
7.4413    0.563379
7.67735    0.548429
7.92089    0.541626
8.17215    0.523234
8.43139    0.497721
8.69885    0.476554
8.9748    0.460506
9.25949    0.448488
9.55322    0.430944
9.85627    0.41033
10.1689    0.402099
10.4915    0.388804
10.8243    0.38126
11.1677    0.368315
11.5219    0.349107
11.8874    0.331129
12.2645    0.330748
12.6536    0.308525
13.055    0.30794
13.4691    0.287389
13.8964    0.283979
14.3372    0.274051
14.792    0.265754
15.2612    0.260679
15.7454    0.249342
16.2448    0.248268
16.7602    0.237106
17.2918    0.230845
17.8403    0.218489
18.4063    0.21241
18.9902    0.201523
19.5926    0.192268
20.2141    0.188779
20.8553    0.190626
21.5169    0.184218
22.1994    0.1779
22.9037    0.176285
23.6302    0.174117
24.3798    0.166293
25.1532    0.156666
25.9511    0.149584
26.7743    0.14729
27.6236    0.144657
28.4999    0.139531
29.404    0.137267
30.3367    0.133558
31.2991    0.130783
32.2919    0.123955
33.3163    0.115029
34.3732    0.112388
35.4635    0.112464
36.5885    0.107891
37.7492    0.10778
38.9467    0.106177
40.1821    0.0998929
41.4568    0.0970297
42.7719    0.0950613
44.1287    0.0900809
45.5285    0.0892706
46.9728    0.0867656
48.4628    0.0822232
