L = 100         delta = 1
0.1    3.33097
0.103172    3.20052
0.106445    3.2195
0.109822    3.11901
0.113305    3.04248
0.1169    2.92234
0.120608    3.19864
0.124434    3.02828
0.128381    3.03279
0.132454    2.97521
0.136655    2.96727
0.14099    3.03495
0.145463    2.95681
0.150077    2.95633
0.154838    2.99071
0.15975    2.83823
0.164817    2.85828
0.170046    3.04808
0.17544    2.98643
0.181005    2.94415
0.186747    2.89487
0.192671    2.95037
0.198783    2.89444
0.205089    2.70735
0.211594    2.68927
0.218307    2.75793
0.225232    2.79588
0.232376    2.74032
0.239748    2.71055
0.247353    2.707
0.2552    2.77385
0.263295    2.61386
0.271647    2.65214
0.280265    2.62955
0.289155    2.5265
0.298328    2.56539
0.307791    2.46165
0.317555    2.4705
0.327628    2.4158
0.338021    2.42638
0.348744    2.44722
0.359807    2.34658
0.371221    2.30089
0.382997    2.24692
0.395146    2.21069
0.407681    2.19878
0.420613    2.16887
0.433956    2.10333
0.447722    2.05715
0.461924    1.9819
0.476578    1.97503
0.491695    1.90194
0.507293    1.87459
0.523385    1.84552
0.539988    1.78452
0.557118    1.75668
0.57479    1.68889
0.593024    1.59589
0.611836    1.61097
0.631244    1.56342
0.651269    1.51447
0.671928    1.4794
0.693243    1.42679
0.715234    1.38302
0.737923    1.35859
0.761331    1.32223
0.785482    1.28115
0.810399    1.2624
0.836106    1.20554
0.862629    1.19611
0.889994    1.15702
0.918226    1.10848
0.947354    1.06461
0.977406    1.06384
1.00841    1.0096
1.0404    0.979386
1.0734    0.95408
1.10745    0.936566
1.14258    0.908732
1.17883    0.855186
1.21622    0.848207
1.25481    0.82681
1.29461    0.798949
1.33568    0.776148
1.37805    0.729827
1.42176    0.712785
1.46686    0.694651
1.5134    0.676764
1.5614    0.656158
1.61093    0.633542
1.66204    0.62479
1.71476    0.608001
1.76915    0.581816
1.82528    0.562821
1.88318    0.55157
1.94291    0.527456
2.00455    0.526476
2.06814    0.490175
2.13374    0.484705
2.20143    0.46319
2.27126    0.448503
2.34331    0.440283
2.41764    0.419534
2.49434    0.410516
2.57346    0.394498
2.6551    0.391395
2.73932    0.37257
2.82622    0.367388
2.91587    0.346797
3.00837    0.338839
3.1038    0.333947
3.20226    0.322277
3.30384    0.316712
3.40864    0.304543
3.51677    0.298385
3.62833    0.28546
3.74343    0.282656
3.86218    0.262274
3.9847    0.259233
4.1111    0.252525
4.24151    0.239298
4.37606    0.236539
4.51488    0.226333
4.6581    0.225834
4.80586    0.209929
4.95831    0.209448
5.1156    0.202655
5.27788    0.19473
5.4453    0.188666
5.61804    0.184942
5.79625    0.178566
5.98012    0.174153
6.16982    0.163947
6.36554    0.165664
6.56747    0.156718
6.7758    0.151675
6.99074    0.150068
7.2125    0.144942
7.4413    0.137628
7.67735    0.132672
7.92089    0.13467
8.17215    0.128128
8.43139    0.126989
8.69885    0.118438
8.9748    0.115254
9.25949    0.110741
9.55322    0.109354
9.85627    0.102925
10.1689    0.102919
10.4915    0.0979424
10.8243    0.0937708
11.1677    0.0918165
11.5219    0.0865168
11.8874    0.0881549
12.2645    0.0845892
12.6536    0.0814299
13.055    0.0775674
13.4691    0.0771526
13.8964    0.0722252
14.3372    0.0705975
14.792    0.0693507
15.2612    0.0683066
15.7454    0.0652616
16.2448    0.0636103
16.7602    0.0624034
17.2918    0.0584421
17.8403    0.0582781
18.4063    0.0561614
18.9902    0.0522976
19.5926    0.0524296
20.2141    0.0515613
20.8553    0.0473586
21.5169    0.0489316
22.1994    0.0459133
22.9037    0.0445887
23.6302    0.0441624
24.3798    0.04217
25.1532    0.0412851
25.9511    0.0394025
26.7743    0.0382523
27.6236    0.0371309
28.4999    0.0363838
29.404    0.0354704
30.3367    0.0338676
31.2991    0.0330002
32.2919    0.0320594
33.3163    0.0311142
34.3732    0.029695
35.4635    0.0287942
36.5885    0.0277089
37.7492    0.0273101
38.9467    0.0268678
40.1821    0.0257228
41.4568    0.0246529
42.7719    0.0243744
44.1287    0.0231919
45.5285    0.0231175
46.9728    0.0216385
48.4628    0.0213395
