L = 10         delta = 5
0.1    2.8016
0.101985    2.99325
0.10401    3.11372
0.106075    2.95335
0.108181    2.88623
0.110328    2.85152
0.112519    2.96266
0.114753    2.9455
0.117031    2.81959
0.119354    2.94323
0.121724    2.80502
0.12414    2.95143
0.126605    2.65573
0.129118    2.98707
0.131682    2.89041
0.134296    2.86866
0.136962    2.79992
0.139681    2.8336
0.142454    2.76596
0.145282    2.88962
0.148167    2.86485
0.151108    2.87566
0.154108    2.86565
0.157168    3.02041
0.160288    2.81302
0.16347    2.90226
0.166715    2.95837
0.170025    3.06019
0.173401    3.00762
0.176843    2.93542
0.180354    2.95203
0.183935    2.95579
0.187586    3.01507
0.19131    2.91751
0.195108    2.94915
0.198982    3.03802
0.202932    2.83673
0.206961    2.83184
0.21107    2.8563
0.21526    2.89975
0.219534    2.87378
0.223892    2.9304
0.228337    2.90999
0.23287    2.9757
0.237493    2.95166
0.242208    3.02679
0.247017    3.08931
0.251921    2.98029
0.256922    3.07613
0.262023    3.09537
0.267224    3.11612
0.27253    3.11457
0.27794    3.03279
0.283458    2.99523
0.289085    3.03029
0.294825    3.04052
0.300678    3.0456
0.306647    3.10127
0.312735    3.09033
0.318944    3.08124
0.325276    3.14393
0.331733    3.08468
0.338319    3.20987
0.345036    3.20432
0.351886    3.11937
0.358872    3.23478
0.365996    3.20392
0.373262    3.24347
0.380673    3.21808
0.38823    3.19116
0.395938    3.34372
0.403798    3.222
0.411815    3.2453
0.41999    3.28869
0.428328    3.26576
0.436832    3.27262
0.445504    3.27124
0.454349    3.28746
0.463369    3.26104
0.472568    3.34382
0.48195    3.39639
0.491518    3.38281
0.501276    3.40761
0.511228    3.34969
0.521377    3.4139
0.531728    3.39541
0.542284    3.4194
0.55305    3.34867
0.56403    3.412
0.575228    3.37961
0.586647    3.40384
0.598294    3.41263
0.610172    3.35543
0.622286    3.32896
0.63464    3.38039
0.647239    3.33687
0.660089    3.27837
0.673193    3.35442
0.686558    3.37256
0.700188    3.34628
0.714089    3.34382
0.728266    3.39507
0.742724    3.36444
0.757469    3.41161
0.772507    3.37537
0.787844    3.34822
0.803485    3.3377
0.819436    3.2672
0.835704    3.26306
0.852296    3.24916
0.869216    3.23703
0.886472    3.25216
0.904072    3.25433
0.92202    3.20854
0.940325    3.19418
0.958993    3.19478
0.978032    3.18847
0.997448    3.18215
1.01725    3.19488
1.03745    3.14929
1.05804    3.24206
1.07905    3.15332
1.10047    3.1163
1.12232    3.14693
1.1446    3.15342
1.16732    3.15035
1.1905    3.0395
1.21413    3.111
1.23824    3.07358
1.26282    3.02464
1.28789    2.98517
1.31346    2.97044
1.33953    2.99543
1.36613    2.94862
1.39325    3.00302
1.42091    2.94422
1.44912    2.88764
1.47789    2.85788
1.50723    2.8682
1.53715    2.7912
1.56767    2.78626
1.59879    2.70334
1.63053    2.64656
1.6629    2.60923
1.69591    2.49673
1.72958    2.44264
1.76392    2.37369
1.79894    2.31166
1.83465    2.26341
1.87107    2.17832
1.90822    2.12253
1.9461    2.03082
1.98474    2.00809
2.02414    1.98785
2.06433    1.94337
2.10531    1.85876
2.14711    1.81493
2.18973    1.78177
2.23321    1.75968
2.27754    1.73946
2.32276    1.69882
2.36887    1.69069
2.4159    1.65376
2.46386    1.63077
2.51278    1.62135
2.56266    1.57075
2.61354    1.52631
2.66543    1.49144
2.71834    1.45236
2.77231    1.43148
2.82735    1.41609
2.88348    1.41377
2.94072    1.38575
2.99911    1.38525
3.05865    1.36538
3.11937    1.38047
3.1813    1.39732
3.24446    1.40013
3.30887    1.40171
3.37456    1.37958
3.44155    1.36902
3.50988    1.395
3.57956    1.39474
3.65062    1.3996
3.7231    1.38038
3.79701    1.35558
3.87239    1.33733
3.94927    1.3309
4.02768    1.27313
4.10764    1.22527
4.18919    1.15443
4.27235    1.06456
4.35717    0.990375
4.44367    0.907916
4.53189    0.842123
4.62186    0.757139
4.71362    0.693208
4.8072    0.640197
4.90264    0.577601
4.99997    0.507874
